Job-Title,Agency,Post-Level,Location,Deadline,Category,Job-Link
"* Engineering Associate ( part time 90%), NPSA-7 (3 posts)",UNDP,NPSA-7,"Belgrade, Serbia","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16328
* Team Leader Anti corruption,UNDP,P4,Mali,"Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16185
* Special Skills Analyst (SSA) for Public Finance Management (PFM) Secretariat - Gender Cluster,UNDP,NPSA-8,"Juba, South Sudan","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16602
"* Project Analyst - Researcher for AI, NPSA-9 (20% part-time)",UNDP,NPSA-9,"Belgrade, Serbia","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16515
"* Project Analyst (30% part-time), NPSA-8",UNDP,NPSA-8,"Belgrade, Serbia","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16511
* Capacity Building Specialist,UNDP,P3,Mali,"Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16220
"* Security Operations Assistant, SB3-2, ds Kyiv, UNDSS,  5 positions, (Nationals only)",UNDP,SB3,"Kyiv, Ukraine","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16513
* Operations Manager,UNDP,P3,"Niamey, Niger","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16645
* PBF Manager,UNDP,NOC,"Sarajevo, Bosnia and Herzegovina","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16500
* Spécialiste Société civile et Genre,UNDP,NPSA-11,"Port-au-Prince, Haiti","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15847
